hypothesis_id,kind,params_json,ready,notes,lineage_len,parent_ids
param_const_cal_09,constant,"{""c"": 0.20950833333333335, ""target_total_return_pct"": 25.141000000000002, ""target_S"": 0.5, ""achieved_S"": 0.5007131773539798, ""calibrated_level_pct"": 25.141000000000002, ""mutation_summary"": ""Seed hypothesis (no parents)"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 25.1% over the 10-year window (almost the same for every case)""}",True,calibrated constant total≈25.1% over 10y,6,
param_llm_claude_c4_5,constant,"{""c"": 0.2095, ""target_S"": 0.5007131773539798, ""target_total_return_pct"": 25.14, ""calibrated_level_pct"": 25.14, ""prediction_summary"": ""When run on London, forecasts house prices change by about 25.1% over the 10-year window (almost the same for every case)"", ""mutation_summary"": ""Blended parents param_llm_offline_heuristic_c3_8 and param_llm_grok_c3_2 into fixed monthly drift for the price forecast""}",True,"proposed_by=claude; mode=in_pool; Both parents are constants that drifted below their common ancestor param_const_cal_09 (c≈0.2095, S≈0.501, MAE≈23.87) and both scored worse, so the strengths of the pair combine to a single signal — the downward nudges hurt — and the merge restores the calibrated level rather than averaging two know",8,param_llm_offline_heuristic_c3_8|param_llm_grok_c3_2
param_llm_grok_c3_2,constant,"{""c"": 0.20777333333333334, ""mutation_summary"": ""From param_const_cal_09: tweaked c 0.2\u21920.2, mutation_summary=Blended parents param_llm_claude_c2_5 and param_const_cal_09 into fixed monthly drift for the price forecast, prediction_summary=When run on London, forecasts house prices change by about 24.9% over the 10-year window (almost the same for every case)"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 24.9% over the 10-year window (almost the same for every case)""}",True,"proposed_by=grok; mode=in_pool; Score-weighted blend of the two constants heavily favors the stronger calibrated parent (c≈0.2095, S≈0.501) over the weaker downward nudge (c≈0.201, S≈0.480) to sit just below the winner and probe the local optimum.",7,param_llm_claude_c2_5|param_const_cal_09
param_llm_grok_c4_2,constant,"{""c"": 0.2075875, ""mutation_summary"": ""Blended parents param_llm_offline_heuristic_c3_8 and param_const_cal_09 into fixed monthly drift for the price forecast"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 24.9% over the 10-year window (almost the same for every case)""}",True,"proposed_by=grok; mode=in_pool; Weight secondary's stronger calibrated drift (c≈0.2095, S≈0.501) at 70% against primary's lower c≈0.203 so the merge stays near the better constant without overshooting.",7,param_llm_offline_heuristic_c3_8|param_const_cal_09
param_llm_offline_heuristic_c5_4,blend_mom_yoy,"{""w_mom"": 0.4608684828087915, ""scale"": 0.5443958529277719, ""mutation_summary"": ""From param_llm_grok_c4_2: changed method from fixed monthly drift to blend of monthly and yearly growth"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 183.5% over the 10-year window (median 77.9%, typically from -46.7% to 2560.4%)""}",True,proposed_by=offline_heuristic; mode=lineage; offline: blend after lineage review,8,param_llm_grok_c4_2
param_llm_claude_c5_5,constant,"{""c"": 0.20950833333333335, ""target_total_return_pct"": 25.141000000000002, ""target_S"": 0.5007131773539798, ""calibrated_level_pct"": 25.141000000000002, ""prediction_summary"": ""When run on London, forecasts house prices change by about 25.1% over the 10-year window (almost the same for every case)"", ""mutation_summary"": ""Blended parents param_const_cal_09 and param_llm_claude_c4_5 into fixed monthly drift for the price forecast""}",True,"proposed_by=claude; mode=in_pool; Both parents are constants whose scores are effectively identical (S 0.5007 vs 0.5007, MAE 23.8725 vs 23.8731) and every prior perturbation away from c=0.209508 scored worse, so the shared strength is the calibrated level itself and the merge preserves it at full precision rather than averaging in d",7,param_const_cal_09|param_llm_claude_c4_5
param_llm_claude_c5_1,constant,"{""c"": 0.2095, ""mutation_summary"": ""From param_llm_claude_c4_5: re-proposed same fixed monthly drift rule as param_llm_claude_c4_5"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 25.1% over the 10-year window (almost the same for every case)""}",True,"proposed_by=claude; mode=lineage; Every downward drift from the calibrated level (param_llm_grok_c3_2 at S≈0.4955) scored worse while the ancestor c=0.2095 remains the best point (S≈0.5007, MAE≈23.87), so this holds the calibrated monthly drift exactly rather than repeating the losing nudges.",9,param_llm_claude_c4_5
param_llm_grok_c5_2,constant,"{""c"": 0.21015, ""mutation_summary"": ""Blended parents param_llm_grok_c3_2 and param_const_cal_09 into fixed monthly drift for the price forecast"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 25.2% over the 10-year window (almost the same for every case)""}",True,"proposed_by=grok; mode=in_pool; Both parents are constants and the lower-c blend underperformed the calibrated winner, so heavily favor c≈0.2095 and probe a small upward step to map the other side of the local S/MAE ridge.",7,param_llm_grok_c3_2|param_const_cal_09
param_llm_offline_heuristic_c5_8,constant,"{""c"": 0.20854791666666667, ""target_S"": 0.5, ""target_total_return_pct"": 25.141000000000002, ""calibrated_level_pct"": 25.141000000000002, ""prediction_summary"": ""When run on London, forecasts house prices change by about 25% over the 10-year window (almost the same for every case)"", ""mutation_summary"": ""Blended parents param_llm_grok_c4_2 and param_const_cal_09 into fixed monthly drift for the price forecast"", ""achieved_S"": 0.5007131773539798}",True,proposed_by=offline_heuristic; mode=in_pool; offline: same-kind merge constant,7,param_llm_grok_c4_2|param_const_cal_09
param_llm_grok_c5_6,ridge_linear,"{""l2"": 0.02, ""lr"": 0.01, ""steps"": 1500, ""train_n"": 4465, ""mutation_summary"": ""Combined param_llm_claude_c4_5 (fixed monthly drift) and nn_llm_deepseek_c1_103 (neural network) into linear fit on market features"", ""prediction_summary"": ""When run, the hypothesis produced no usable price forecasts (degenerate / non-finite outputs)""}",True,linear_fitted_n=4465,8,param_llm_claude_c4_5|nn_llm_deepseek_c1_103
